Num,generators,gen_types,nombres,zonas
19,PARAGUAY_FV,solar,SOLAR_1,SEN
19,PEQUEN_FV,solar,SOLAR_1,SEN
19,PERALILLO_FV,solar,SOLAR_1,SEN
19,PIDUCO_FV,solar,SOLAR_1,SEN
19,PIRQUE_FV,solar,SOLAR_1,SEN
19,PLACILLA_FV,solar,SOLAR_1,SEN
19,PORVENIR_FV,solar,SOLAR_1,SEN
19,PUENTE_FV,solar,SOLAR_1,SEN
19,QUILAPILUN_FV,solar,SOLAR_1,SEN
19,QUINANTU_FV,solar,SOLAR_1,SEN
19,RANGUIL_FV,solar,SOLAR_1,SEN
19,RAULI_FV,solar,SOLAR_1,SEN
19,RAUQUEN_FV,solar,SOLAR_1,SEN
19,RCU_FV,solar,SOLAR_1,SEN
19,ROMERO_FV,solar,SOLAR_1,SEN
19,ROVIAN_FV,solar,SOLAR_1,SEN
19,SANTA_CAROLINA_FV,solar,SOLAR_1,SEN
19,SANTA_FE_FV,solar,SOLAR_1,SEN
19,SANTIAGO_SOLAR_FV,solar,SOLAR_1,SEN
19,SAN_CAMILO_FV,solar,SOLAR_1,SEN
19,SAN_FRANCISCO_FV,solar,SOLAR_1,SEN
19,SAN_ISIDRO_FV,solar,SOLAR_1,SEN
19,SOL_DE_SEPTIEMBRE_FV,solar,SOLAR_1,SEN
19,TALCA_FV,solar,SOLAR_1,SEN
19,TECHOS_DE_ALTAMIRA_FV,solar,SOLAR_1,SEN
19,TECHOS_WATTS_FV,solar,SOLAR_1,SEN
19,TENO_FV,solar,SOLAR_1,SEN
19,TENO_UNO_FV,solar,SOLAR_1,SEN
19,TIL_TIL_FV,solar,SOLAR_1,SEN
19,UTFSM_SAN_JOAQUIN_FV,solar,SOLAR_1,SEN
19,UTFSM_VITACURA_FV,solar,SOLAR_1,SEN
19,VALLE_DE_LA_LUNA_2_FV,solar,SOLAR_1,SEN
19,VALLE_SOLAR_ESTE_FV,solar,SOLAR_1,SEN
19,VALLE_SOLAR_OESTE_FV,solar,SOLAR_1,SEN
19,VILLA_ALEGRE_FV,solar,SOLAR_1,SEN
19,VILLA_CRUZ_7_FV,solar,SOLAR_1,SEN
19,VILLA_CRUZ_FV,solar,SOLAR_1,SEN
20,ALHUE_FV,solar,SOLAR_2,SEN
20,AVILES_FV,solar,SOLAR_2,SEN
20,CAIMI_FV,solar,SOLAR_2,SEN
20,CANTERA_FV,solar,SOLAR_2,SEN
20,CHICAUMA_VERANO_FV,solar,SOLAR_2,SEN
20,COLCHAGUA_FV,solar,SOLAR_2,SEN
20,CONDOR_FV,solar,SOLAR_2,SEN
20,DON_JORGE_FV,solar,SOLAR_2,SEN
20,EL_BOCO_AMPL_FV,solar,SOLAR_2,SEN
20,ESCORIAL_VERANO_FV,solar,SOLAR_2,SEN
20,FARAMALLA_FV,solar,SOLAR_2,SEN
20,FUSTER_DEL_VERANO_FV,solar,SOLAR_2,SEN
20,FV testigo 1,solar,SOLAR_2,SEN
20,GUADALAO_FV,solar,SOLAR_2,SEN
20,KAUFMANN_FV,solar,SOLAR_2,SEN
20,LAS_CHACRAS_FV,solar,SOLAR_2,SEN
20,LAS_TORCAZAS_FV,solar,SOLAR_2,SEN
20,LA_ESTANCIA_FV,solar,SOLAR_2,SEN
20,LA_FORESTA_FV,solar,SOLAR_2,SEN
20,LOS_TILOS_FV,solar,SOLAR_2,SEN
20,MAITENES_FV,solar,SOLAR_2,SEN
20,MANAO_FV,solar,SOLAR_2,SEN
20,MARCHIGUE_7_FV,solar,SOLAR_2,SEN
20,NEWENTUN_FV,solar,SOLAR_2,SEN
20,OVALLE_NORTE_FV,solar,SOLAR_2,SEN
20,PALERMO_FV,solar,SOLAR_2,SEN
20,PILPILEN_FV,solar,SOLAR_2,SEN
20,PLAYERO_3_FV,solar,SOLAR_2,SEN
20,RUCASOL_FV,solar,SOLAR_2,SEN
20,SANTA_INES_FV,solar,SOLAR_2,SEN
20,SANTA_MARGARITA_FV,solar,SOLAR_2,SEN
20,SAN_RAMIRO_FV,solar,SOLAR_2,SEN
20,San Felipe 012 VII,solar,SOLAR_2,SEN
21,EL_ARREBOL_EO,wind,EOLICA_1,SEN
21,Eolica testigo 1,wind,EOLICA_1,SEN
21,Eolica_Biobio_63,wind,EOLICA_1,SEN
21,HUAJACHE_EO,wind,EOLICA_1,SEN
21,LAS_PENAS_EO,wind,EOLICA_1,SEN
21,LA_ESTRELLA_EO,wind,EOLICA_1,SEN
21,LA_FLOR_EO,wind,EOLICA_1,SEN
21,LEBU_2_EO,wind,EOLICA_1,SEN
21,LEBU_3_EO,wind,EOLICA_1,SEN
21,LEBU_EO,wind,EOLICA_1,SEN
21,LOS_OLMOS_EO,wind,EOLICA_1,SEN
21,SAN_GABRIEL_EO,wind,EOLICA_1,SEN
