Cluster,name,capacity,,,,,
Cluster 0,PV_PUERTO_SECO,9,SOLAR_1,,,,
Cluster 0,PV_QUETENA,9,SOLAR_1,,,,
Cluster 0,PV_RARI_SOLAR,9,SOLAR_1,,,,
Cluster 0,PV_SOL_DE_SEPTIEMBRE,9,SOLAR_1,,,,
Cluster 0,PV_TRICA_DOS,9,SOLAR_1,,,,
Cluster 0,PV_VACCARO,9,SOLAR_1,,,,
Cluster 0,PV_VICTORIA,9,SOLAR_1,,,,
Cluster 0,PV_LOCKMA,10.8,SOLAR_1,,,,
Cluster 0,PV_EXT_SOLAR_FINIS_TERRAE_E2,18,SOLAR_1,,,,
Cluster 0,PV_LOMA_LOS_COLORADOS,18.2,SOLAR_1,,,,
Cluster 0,PV_JAMA_2,26,SOLAR_1,,,,
Cluster 0,PV_JAMA_1,31,SOLAR_1,,,,
Cluster 0,PV_URIBE_SOLAR,50,SOLAR_1,,,,
Cluster 0,PV_USYA,52.4,SOLAR_1,,,,
Cluster 0,PV_LA_CRUZ,54.7485,SOLAR_1,,,,
Cluster 0,PV_SOL_DE_DESIERTO_2,55,SOLAR_1,,,,
Cluster 0,PV_AZABACHE,59.8,SOLAR_1,,,,
Cluster 0,PV_MARIA_ELENA,67.71,SOLAR_1,,,,
Cluster 0,PV_JAPEADO,75,SOLAR_1,,,,
Cluster 0,PV_CAPRICORNIO,87.9,SOLAR_1,,,,
Cluster 1,PV_CERRO_DOMINADOR,100,SOLAR_2,,,,
Cluster 1,PV_PAMPA_TIGRE,100,SOLAR_2,,,,
Cluster 1,PV_SAN_PEDRO_GPG,106,SOLAR_2,,,,
Cluster 1,PV_TAMAYA_SOLAR,114,SOLAR_2,,,,
Cluster 1,PV_EXT_SOLAR_FINIS_TERRAE,126.2,SOLAR_2,,,,
Cluster 1,PV_FINIS_TERRAE,138,SOLAR_2,,,,
Cluster 1,PV_VALLE_DEL_SOL,149.9,SOLAR_2,,,,
Cluster 1,PV_SOL_DE_DESIERTO_1,175,SOLAR_2,,,,
Cluster 2,PV_COYA,180,SOLAR_3,,,,
Cluster 2,PV_DOMEYKO,186.2,SOLAR_3,,,,
Cluster 2,PV_CERRO_DOMINADOR_CSP,297,SOLAR_3,,,,
Cluster 2,PV_ELENA,270,SOLAR_3,,,,
Cluster 3,PV_TOCOPILLA,200.3,SOLAR_4,,,,
Cluster 3,PV_LAS_SALINAS,375,SOLAR_4,,,,
Cluster 3,PV_CEME1,480,SOLAR_4,,,,
Cluster 4,PV_JOSE_SOLER_MALLAFRE,1.3,SOLAR_5,,,,
Cluster 4,PV_EL_CERNICALO,1.5,SOLAR_5,,,,
Cluster 4,PV_EL_CERNICALO_2,1.5,SOLAR_5,,,,
Cluster 4,PV_LINARES,1.5,SOLAR_5,,,,
Cluster 4,PV_SGT_CHOLGUAN,2.2,SOLAR_5,,,,
